address,full_address,latitude,longitude
28 Sims Drive,28 SIMS DRIVE PENROSE SINGAPORE 387399,1.318937395,103.8800132
82 Anchorvale Crescent,82 ANCHORVALE CRESCENT OLA SINGAPORE 544559,1.397120073,103.8922927
29 Jurong West Street 41,29 JURONG WEST STREET 41 THE LAKESHORE SINGAPORE 649411,1.345808552,103.7233823
450 Corporation Road,450 CORPORATION ROAD PARC VISTA SINGAPORE 649810,1.344627556,103.7183814
1 King Albert Park,1 KING ALBERT PARK KING ALBERT LODGE SINGAPORE 598326,1.336573518,103.7802973
30 Dover Rise,30 DOVER RISE DOVER PARKVIEW SINGAPORE 138687,1.306093948,103.7843457
20 Jansen Road,20 JANSEN ROAD MINT RESIDENCES @ JANSEN SINGAPORE 548411,1.359867357,103.8774231
801 Upper Serangoon Road,801 UPPER SERANGOON ROAD D'PAVILION SINGAPORE 534671,1.35660034,103.8804411
89 Rosewood Drive,89 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737792,1.427597896,103.7860363
84 Dakota Crescent,84 DAKOTA CRESCENT WATERBANK AT DAKOTA SINGAPORE 399948,1.306976735,103.8896309
3 Khiang Guan Avenue,3 KHIANG GUAN AVENUE LINCOLN SUITES SINGAPORE 308381,1.31710864,103.8427431
28 Kovan Road,28 KOVAN ROAD THE BENTLEY RESIDENCES@KOVAN SINGAPORE 544694,1.357902988,103.8802856
2 Hillview Rise,2 HILLVIEW RISE THE HILLIER SINGAPORE 667978,1.363932031,103.7645836
59 Lorong 40 Geylang,59 LORONG 40 GEYLANG THE WATERINA SINGAPORE 398082,1.313282108,103.8908503
356 Alexandra Road,356 ALEXANDRA ROAD,1.291041292,103.8072312
10A Mount Sophia,10A MOUNT SOPHIA 8 @ MOUNT SOPHIA SINGAPORE 228462,1.301032035,103.8463896
53 Irrawaddy Road,53 IRRAWADDY ROAD THE CENTRIO SINGAPORE 329552,1.325314331,103.8461329
1M Pine Grove,1M PINE GROVE PINE GROVE SINGAPORE 591201,1.318482878,103.7753475
568 Macpherson Road,568 MACPHERSON ROAD SKY GREEN SINGAPORE 368236,1.332597723,103.8866543
50A South Buona Vista Road,50A SOUTH BUONA VISTA ROAD KENT RIDGE HILL RESIDENCES SINGAPORE 118179,1.280779968,103.7901753
3 Kovan Road,3 KOVAN ROAD KOVAN RESIDENCES SINGAPORE 544917,1.361315872,103.8850055
28 Sumang Walk,28 SUMANG WALK PIERMONT GRAND SINGAPORE 828619,1.410006036,103.8984404
9 Marymount Terrace,9 MARYMOUNT TERRACE TRESALVEO SINGAPORE 573964,1.351042598,103.8408225
37 Oxley Rise,37 OXLEY RISE VISIONCREST SINGAPORE 238712,1.298208508,103.8428141
4 Kitchener Link,4 KITCHENER LINK CITY SQUARE RESIDENCES SINGAPORE 207228,1.310478253,103.8578444
230 Commonwealth Avenue,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,1.295734335,103.8060302
60 Sengkang Square,60 SENGKANG SQUARE LA FIESTA SINGAPORE 544700,1.389008596,103.8948718
53 Flora Drive,53 FLORA DRIVE THE INFLORA SINGAPORE 506863,1.3567662,103.9664716
323 Choa Chu Kang Avenue 3,323 CHOA CHU KANG AVENUE 3 MI CASA SINGAPORE 689865,1.383725032,103.7481473
812 Bedok Reservoir Road,812 BEDOK RESERVOIR ROAD BAYWATER SINGAPORE 479242,1.337153403,103.9322259
21 Mandalay Road,21 MANDALAY ROAD M21 SINGAPORE 308208,1.322522208,103.8488911
3 Lorong How Sun,3 LORONG HOW SUN BARTLEY RESIDENCES SINGAPORE 536560,1.34313292,103.8817743
6 Tampines Street 73,6 TAMPINES STREET 73 PINEVALE SINGAPORE 528825,1.358287215,103.9324015
19 Canberra Walk,19 CANBERRA WALK PARC CANBERRA SINGAPORE 756950,1.44780616,103.8287828
16 Fourth Avenue,16 FOURTH AVENUE FOURTH AVENUE RESIDENCES SINGAPORE 268678,1.32975732,103.7966409
14 Siglap Link,14 SIGLAP LINK SEASIDE RESIDENCES SINGAPORE 448871,1.307734363,103.9273827
6 Petir Road,6 PETIR ROAD MAYSPRINGS SINGAPORE 678267,1.376082456,103.7636537
476 Siglap Road,476 SIGLAP ROAD FLAMINGO VALLEY SINGAPORE 454946,1.318110163,103.9223041
340 Geylang Road,340 GEYLANG ROAD LE REGAL SINGAPORE 389365,1.312502687,103.8803681
38 Fernvale Link,38 FERNVALE LINK H20 RESIDENCES SINGAPORE 797534,1.392534673,103.8805669
89 Compassvale Bow,89 COMPASSVALE BOW JEWEL @ BUANGKOK SINGAPORE 544687,1.380507754,103.8920536
65 Choa Chu Kang Loop,65 CHOA CHU KANG LOOP NORTHVALE SINGAPORE 689670,1.387616688,103.7447485
408 River Valley Road,408 RIVER VALLEY ROAD STELLAR RV SINGAPORE 248306,1.295104587,103.8285114
36 Kovan Rise,36 KOVAN RISE KOVAN REGENCY SINGAPORE 544726,1.363300511,103.8847652
87 Compassvale Bow,87 COMPASSVALE BOW JEWEL @ BUANGKOK SINGAPORE 544686,1.380499598,103.8917065
6 Rivervale Link,6 RIVERVALE LINK PARK GREEN SINGAPORE 545042,1.380392257,103.9001246
20 Bukit Batok Street 52,20 BUKIT BATOK STREET 52 GUILIN VIEW SINGAPORE 659244,1.356062746,103.752767
8 Jelebu Road,8 JELEBU ROAD HILLION RESIDENCES SINGAPORE 677671,1.378616545,103.7626155
82 Tiong Poh Road,82 TIONG POH ROAD TIONG BAHRU ESTATE SINGAPORE 160082,1.283234715,103.8336811
412 Upper East Coast Road,412 UPPER EAST COAST ROAD EAST COAST RESIDENCES SINGAPORE 466488,1.314167947,103.9397322
33 Lorong 32 Geylang,33 LORONG 32 GEYLANG LOFT 33 SINGAPORE 398293,1.312784222,103.8872009
107 Tampines Street 86,107 TAMPINES STREET 86 THE ALPS RESIDENCES SINGAPORE 528533,1.354878578,103.9292319
294 Jalan Eunos,294 JALAN EUNOS EUHABITAT SINGAPORE 415835,1.32780329,103.9083152
78 Mergui Road,78 MERGUI ROAD SINGAPORE 219054,1.317166734,103.852223
31 Simei Rise,31 SIMEI RISE SAVANNAH CONDOPARK SINGAPORE 528779,1.349828702,103.9613966
65 Cairnhill Road,"65 CAIRNHILL ROAD THE RITZ-CARLTON RESIDENCES, SINGAPORE, CAIRNHILL SINGAPORE 229721",1.308031266,103.8361831
22A Mar Thoma Road,22A MAR THOMA ROAD VETRO SINGAPORE 328703,1.327518848,103.8625649
117 Pasir Ris Grove,117 PASIR RIS GROVE THE PALETTE SINGAPORE 518173,1.369628876,103.9453719
7 Mount Emily Road,7 MOUNT EMILY ROAD PARC EMILY SINGAPORE 228491,1.304324662,103.8487837
1 Sin Ming Walk,1 SIN MING WALK THE GARDENS AT BISHAN SINGAPORE 575574,1.363988828,103.8324545
2 Jalan Lokam,2 JALAN LOKAM KENSINGTON SQUARE SINGAPORE 537846,1.345607722,103.8826959
5 Marine Vista,5 MARINE VISTA NEPTUNE COURT SINGAPORE 449029,1.307073369,103.9225137
120 Punggol Walk,120 PUNGGOL WALK TWIN WATERFALLS SINGAPORE 828770,1.40276446,103.8973788
80 Elias Road,80 ELIAS ROAD STRATUM SINGAPORE 519945,1.37877593,103.9433803
62 Elias Road,624A ELIAS ROAD MULTI STOREY CAR PARK SINGAPORE 510624,1.377991251,103.9418344
704 Upper Changi Road East,704 UPPER CHANGI ROAD EAST CHANGI COURT SINGAPORE 486834,1.343759826,103.9625143
3 Lorong 35 Geylang,3 LORONG 35 GEYLANG CENTRA LOFT SINGAPORE 387935,1.31481744,103.888377
9 Leonie Hill,9 LEONIE HILL THE LUMOS SINGAPORE 239220,1.299066008,103.8320686
82 Dakota Crescent,82 DAKOTA CRESCENT WATERBANK AT DAKOTA SINGAPORE 399947,1.306702759,103.8895741
754 Bedok Reservoir Road,754 BEDOK RESERVOIR ROAD WATERFRONT GOLD SINGAPORE 479258,1.338423492,103.929097
230 Jalan Eunos,230 JALAN EUNOS EUHABITAT SINGAPORE 415867,1.327821237,103.9067383
10 Martaban Road,10 MARTABAN ROAD ECOVILLE SINGAPORE 328668,1.323830146,103.8508903
88 Rangoon Road,88 RANGOON ROAD RANGOON 88 SINGAPORE 218374,1.314381893,103.8542331
11A Nassim Road,11A NASSIM ROAD SAGE SINGAPORE 258379,1.30733965,103.8243565
79 Tampines Avenue 1,79 TAMPINES AVENUE 1 WATERVIEW SINGAPORE 528684,1.348119773,103.9260782
42 Lakeside Drive,42 LAKESIDE DRIVE THE LAKEFRONT RESIDENCES SINGAPORE 648322,1.3433524,103.7193036
262 Joo Chiat Place,262 JOO CHIAT PLACE PARC BLEU SINGAPORE 427944,1.314173043,103.9076082
8 Ridgewood Close,8 RIDGEWOOD CLOSE THE TRIZON SINGAPORE 276698,1.317407578,103.7777207
55 Devonshire Road,55 DEVONSHIRE ROAD DEVONSHIRE RESIDENCES SINGAPORE 239855,1.298846472,103.837352
36 Jervois Road,36 JERVOIS ROAD JERVOIS LODGE SINGAPORE 249018,1.294192547,103.8235159
28 Leonie Hill,28 LEONIE HILL LEONIE TOWERS SINGAPORE 239227,1.297150283,103.8319582
21 Lorong 30 Geylang,21 LORONG 30 GEYLANG IDYLLIC SUITES SINGAPORE 398353,1.312850809,103.8864976
18 Holland Hill,18 HOLLAND HILL PARVIS SINGAPORE 278746,1.309851999,103.7998896
33 Keppel Bay View,33 KEPPEL BAY VIEW REFLECTIONS AT KEPPEL BAY SINGAPORE 098419,1.267144993,103.8110023
7 Sophia Road,7 SOPHIA ROAD SOPHIA RESIDENCE SINGAPORE 228192,1.30010163,103.8483425
12 Woodgrove Drive,12 WOODGROVE DRIVE WOODGROVE CONDOMINIUM SINGAPORE 738212,1.429289027,103.7829695
16 Keppel Bay Drive,16 KEPPEL BAY DRIVE CARIBBEAN AT KEPPEL BAY SINGAPORE 098643,1.266191779,103.816051
238 Balestier Road,238 BALESTIER ROAD URBAN HERITAGE SINGAPORE 329701,1.321844139,103.8533341
45 Tampines Lane,45 TAMPINES LANE TREASURE AT TAMPINES SINGAPORE 528463,1.344051134,103.9470809
15 Flora Drive,15 FLORA DRIVE THE JOVELL SINGAPORE 506854,1.357740114,103.9658672
10 Fernvale Street,10 FERNVALE STREET PARC BOTANNIA SINGAPORE 797390,1.39858782,103.8746323
150 Mariam Way,150 MARIAM WAY BALLOTA PARK CONDOMINIUM SINGAPORE 507079,1.358877991,103.9685244
101 Tampines Street 86,101 TAMPINES STREET 86 THE ALPS RESIDENCES SINGAPORE 528575,1.355055826,103.9299219
6 Paya Lebar Road,6 PAYA LEBAR ROAD PARK PLACE RESIDENCES AT PLQ SINGAPORE 409055,1.31640942,103.8926921
30 Handy Road,30 HANDY ROAD HAUS ON HANDY SINGAPORE 229241,1.300135503,103.8467504
8A Paterson Hill,8A PATERSON HILL THE MARQ ON PATERSON HILL SINGAPORE 238568,1.300305481,103.8289525
913 Lorong 1 Toa Payoh,913 LORONG 1 TOA PAYOH OLEANDER TOWERS SINGAPORE 319772,1.333184474,103.8443417
33 Simei Street 3,33 SIMEI STREET 3 MY MANHATTAN SINGAPORE 529903,1.341901156,103.9536575
36 Sturdee Road,36 STURDEE ROAD KERRISDALE SINGAPORE 207855,1.313542304,103.8583794
38 Handy Road,38 HANDY ROAD SUITES AT ORCHARD SINGAPORE 229239,1.300420062,103.8459576
188 Keng Lee Road,188 KENG LEE ROAD ROCHELLE AT NEWTON SINGAPORE 308414,1.314044257,103.8419229
3 Alexandra View,3 ALEXANDRA VIEW ASCENTIA SKY SINGAPORE 158749,1.290951037,103.8170003
78 Dakota Crescent,78 DAKOTA CRESCENT WATERBANK AT DAKOTA SINGAPORE 399945,1.306554211,103.8888469
56 Saint Patrick's Road,56 SAINT PATRICK'S ROAD SAINT PATRICK'S RESIDENCES SINGAPORE 424171,1.307522526,103.9149252
Ivory,IVORY,1.311384715,103.9004083
9 Bukit Batok Central Link,9 BUKIT BATOK CENTRAL LINK THE JADE SINGAPORE 658074,1.349000733,103.7489079
1 Lorong 22 Geylang,1 LORONG 22 GEYLANG GRANDVIEW SUITES SINGAPORE 398664,1.312776046,103.8824556
9 Transit Road,9 TRANSIT ROAD ROOTS @ TRANSIT SINGAPORE 778885,1.404878055,103.8180882
121B Whitley Road,121B WHITLEY ROAD MONTCLAIR @ WHITLEY SINGAPORE 297814,1.325933577,103.8370196
7 Siglap Road,7 SIGLAP ROAD MANDARIN GARDENS SINGAPORE 448909,1.307698715,103.925107
65 Rosewood Drive,65 ROSEWOOD DRIVE ROSEWOOD SUITES SINGAPORE 737875,1.429013168,103.7863477
35 Jurong East Avenue 1,354 JURONG EAST AVENUE 1 MULTI STOREY CAR PARK SINGAPORE 600354,1.344533586,103.7318883
88 Orchard Boulevard,88 ORCHARD BOULEVARD BOULEVARD 88 SINGAPORE 248656,1.30495432,103.8276275
15 Pasir Ris Link,15 PASIR RIS LINK SEASTRAND SINGAPORE 518182,1.375701544,103.9604053
203 Jalan Pelikat,203 JALAN PELIKAT SINGAPORE 537653,1.355850583,103.8886236
18 Bedok Rise,18 BEDOK RISE THE GLADES SINGAPORE 465410,1.327485972,103.9495042
107 West Coast Vale,107 WEST COAST VALE WHISTLER GRAND SINGAPORE 126751,1.320031287,103.7540103
99A Lorong H Telok Kurau,99A LORONG H TELOK KURAU ESPIRA SUITES SINGAPORE 426121,1.317058766,103.912857
118 Punggol Walk,118 PUNGGOL WALK TWIN WATERFALLS SINGAPORE 828769,1.402617209,103.8976985
11 Tampines Avenue 8,11 TAMPINES AVENUE 8 ARC AT TAMPINES SINGAPORE 529599,1.350848737,103.9282938
6 Flora Drive,6 FLORA DRIVE CARISSA PARK CONDOMINIUM SINGAPORE 507027,1.35929698,103.9644079
10 Dover Rise,10 DOVER RISE HERITAGE VIEW SINGAPORE 138680,1.304416722,103.7842786
12 Amber Road,12 AMBER ROAD NYON SINGAPORE 439858,1.299817679,103.8985199
34 Flora Drive,34 FLORA DRIVE PALM ISLES SINGAPORE 506893,1.356506186,103.9645702
42 Flora Drive,42 FLORA DRIVE PALM ISLES SINGAPORE 506867,1.356790867,103.9636976
38 Lorong N Telok Kurau,38 LORONG N TELOK KURAU PALMERA RESIDENCE SINGAPORE 425163,1.309505445,103.9112893
171 Upper East Coast Road,171 UPPER EAST COAST ROAD SUITES @ EASTCOAST SINGAPORE 455273,1.314378954,103.9322483
283 Bedok South Avenue 3,283 BEDOK SOUTH AVENUE 3 ECO SINGAPORE 465460,1.322931186,103.9451256
9A Lorong Lew Lian,9A LORONG LEW LIAN FOREST WOODS SINGAPORE 536495,1.351251342,103.8765541
25 Punggol Field Walk,25 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828751,1.391236698,103.9126944
175 Bencoolen Street,175 BENCOOLEN STREET BURLINGTON SQUARE SINGAPORE 189649,1.302128037,103.8526047
119 Compassvale Bow,119 COMPASSVALE BOW ESPARINA RESIDENCES SINGAPORE 544817,1.380816402,103.8912146
80 Dakota Crescent,80 DAKOTA CRESCENT WATERBANK AT DAKOTA SINGAPORE 399946,1.306626886,103.8892643
83 Pasir Ris Grove,83 PASIR RIS GROVE NV RESIDENCES SINGAPORE 518211,1.371470111,103.944466
77 Rosewood Drive,77 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737786,1.428373775,103.7862547
93 Pasir Ris Grove,93 PASIR RIS GROVE NV RESIDENCES SINGAPORE 518191,1.370929995,103.9438926
74 Choa Chu Kang Avenue 5,74 CHOA CHU KANG AVENUE 5 INZ RESIDENCE SINGAPORE 688198,1.374021338,103.7391936
1A Ardmore Park,1A ARDMORE PARK LE NOUVEL ARDMORE SINGAPORE 259945,1.310423987,103.8279134
64 Sengkang Square,64 SENGKANG SQUARE LA FIESTA SINGAPORE 544702,1.389374592,103.8950553
125 Meyer Road,125 MEYER ROAD THE MAKENA SINGAPORE 437936,1.296709411,103.8941916
9 Bedok South Avenue 3,9 BEDOK SOUTH AVENUE 3 GRANDEUR PARK RESIDENCES SINGAPORE 465465,1.325312459,103.9451703
23 Mattar Road,23 MATTAR ROAD THE ANTARES SINGAPORE 387730,1.325417785,103.8834038
6 Woodleigh Lane,6 WOODLEIGH LANE PARK COLONIAL SINGAPORE 357687,1.338787166,103.8696111
8 Woodleigh Lane,8 WOODLEIGH LANE PARK COLONIAL SINGAPORE 357688,1.338538839,103.87008
27 West Coast Crescent,27 WEST COAST CRESCENT BLUE HORIZON SINGAPORE 128048,1.297502057,103.7647915
1 Fernvale Close,1 FERNVALE CLOSE LUSH ACRES SINGAPORE 797485,1.395331962,103.8795137
6 Indus Road,6 INDUS ROAD EMERALD PARK TOWER 1 SINGAPORE 169588,1.290094674,103.8300922
50 Lorong 101 Changi,50 LORONG 101 CHANGI OLLOI SINGAPORE 426657,1.314964839,103.8995307
762 Bedok Reservoir Road,762 BEDOK RESERVOIR ROAD WATERFRONT WAVES SINGAPORE 479246,1.337735553,103.9296547
6 Jalan Lempeng,6 JALAN LEMPENG PARC CLEMATIS SINGAPORE 128795,1.318133728,103.7602359
20 Lorong 35 Geylang,20 LORONG 35 GEYLANG REZI 35 SINGAPORE 387949,1.315721209,103.8888371
136 Serangoon Avenue 3,136 SERANGOON AVENUE 3 THE SCALA SINGAPORE 554476,1.351406554,103.8654052
293 Ocean Drive,293 OCEAN DRIVE THE OCEANFRONT @ SENTOSA COVE SINGAPORE 098533,1.244007226,103.8420509
38 Shanghai Road,38 SHANGHAI ROAD THE MERCURY SINGAPORE 248201,1.296139861,103.8272318
74 Tanah Merah Kechil Avenue,74 TANAH MERAH KECHIL AVENUE CASA MERAH SINGAPORE 465536,1.32852715,103.9455416
9 Woodlands Drive 72,9 WOODLANDS DRIVE 72 WOODSVALE SINGAPORE 738093,1.444528726,103.8055659
8 River Valley Grove,8 RIVER VALLEY GROVE RIVERIA GARDENS SINGAPORE 238406,1.29728166,103.8346906
319 Choa Chu Kang Avenue 3,319 CHOA CHU KANG AVENUE 3 MI CASA SINGAPORE 689863,1.383791851,103.7478051
11 Jervois Close,11 JERVOIS CLOSE ONE JERVOIS SINGAPORE 249107,1.292337199,103.8246147
35 Lorong 20 Geylang,35 LORONG 20 GEYLANG TREASURES@G20 SINGAPORE 398751,1.311446994,103.8815397
25 Lorong Kismis,25 LORONG KISMIS VIEW AT KISMIS SINGAPORE 596189,1.337912483,103.7700353
67 Simei Rise,67 SIMEI RISE SAVANNAH CONDOPARK SINGAPORE 528797,1.349403262,103.9615786
22 Upper Serangoon Crescent,22 UPPER SERANGOON CRESCENT RIVERSAILS SINGAPORE 534025,1.378884113,103.9026942
D'zire,D'ZIRE,1.368306347,103.8821734
23 Terrasse Lane,23 TERRASSE LANE TERRASSE SINGAPORE 544775,1.368876792,103.8776249
91 West Coast Vale,91 WEST COAST VALE TWIN VEW SINGAPORE 126755,1.320049382,103.7521613
93 West Coast Vale,93 WEST COAST VALE TWIN VEW SINGAPORE 126756,1.31968768,103.7526994
28 Alexandra View,28 ALEXANDRA VIEW ALEX RESIDENCES SINGAPORE 158744,1.290569997,103.8190008
1 Surrey Road,1 SURREY ROAD SUITES @ NEWTON SINGAPORE 307740,1.316400356,103.8416718
8 Upper Serangoon Crescent,8 UPPER SERANGOON CRESCENT RIVERSAILS SINGAPORE 534032,1.378359029,103.9029043
9 Oxley Rise,9 OXLEY RISE THE OXLEY SINGAPORE 238697,1.299043722,103.8421684
32 Fernvale Link,32 FERNVALE LINK H20 RESIDENCES SINGAPORE 797531,1.392825619,103.8802101
135 Pasir Ris Grove,135 PASIR RIS GROVE D'NEST SINGAPORE 518132,1.369076336,103.9462708
9 Cairnhill Road,9 CAIRNHILL ROAD CAIRNHILL NINE SINGAPORE 229723,1.303486854,103.8374444
1 Fraser Street,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.29916296,103.8578595
10 Leicester Road,10 LEICESTER ROAD LEICESTER SUITES SINGAPORE 358844,1.33040483,103.8670935
5 Mount Sophia,5 MOUNT SOPHIA SOPHIA HILLS SINGAPORE 228453,1.300690581,103.8481293
368 Thomson Road,368 THOMSON ROAD 368 THOMSON SINGAPORE 298127,1.327091332,103.8419786
5 Rhu Cross,5 RHU CROSS COSTA RHU SINGAPORE 437434,1.296479019,103.8664189
15 Institution Hill,15 INSTITUTION HILL ASPEN LINQ SINGAPORE 239669,1.29534158,103.8398444
Verticus,VERTICUS,1.326409627,103.8506982
16 Simei Street 1,16 SIMEI STREET 1 MELVILLE PARK SINGAPORE 529942,1.349626011,103.9590437
18 Guillemard Crescent,18 GUILLEMARD CRESCENT COSMO SINGAPORE 399914,1.30957644,103.8810396
33 Oxley Rise,33 OXLEY RISE VISIONCREST SINGAPORE 238710,1.298281594,103.8427868
Melrose Ville,MELROSE VILLE,1.310617948,103.8932666
766 Bedok Reservoir Road,766 BEDOK RESERVOIR ROAD WATERFRONT WAVES SINGAPORE 479248,1.337361329,103.9299048
54 Punggol Walk,54 PUNGGOL WALK A TREASURE TROVE SINGAPORE 828832,1.405879164,103.8999829
63 Punggol Central,63 PUNGGOL CENTRAL WATERTOWN SINGAPORE 828841,1.406937218,103.9029083
295 Ocean Drive,295 OCEAN DRIVE THE OCEANFRONT @ SENTOSA COVE SINGAPORE 098534,1.244515593,103.8421763
49 Hougang Avenue 7,49 HOUGANG AVENUE 7 RIVERFRONT RESIDENCES SINGAPORE 533817,1.371738592,103.8997062
1 Balmoral Road,1 BALMORAL ROAD ONE BALMORAL SINGAPORE 259784,1.313487946,103.8299081
2 Gilstead Road,2 GILSTEAD ROAD GILSTEAD TWO SINGAPORE 309061,1.31496035,103.8384594
2 Kandis Link,2 KANDIS LINK KANDIS RESIDENCE SINGAPORE 756967,1.456436254,103.8372186
33 Pasir Ris Link,33 PASIR RIS LINK WATERCOLOURS SINGAPORE 518154,1.376705966,103.9597831
11 Lorong N Telok Kurau,11 LORONG N TELOK KURAU BERKELEY RESIDENCES SINGAPORE 425141,1.309619017,103.9092582
1 Devonshire Road,1 DEVONSHIRE ROAD ONE DEVONSHIRE SINGAPORE 239896,1.297192855,103.8374709
11 Serangoon North View,11 SERANGOON NORTH VIEW THE GARDEN RESIDENCES SINGAPORE 554348,1.365989868,103.8707358
11B Mount Sinai Lane,11B MOUNT SINAI LANE GLENTREES SINGAPORE 277051,1.315854318,103.7846292
12A Cairnhill Rise,12A CAIRNHILL RISE THE VERMONT ON CAIRNHILL SINGAPORE 229746,1.308638408,103.8383636
90 Saint Francis Road,90 SAINT FRANCIS ROAD ST FRANCIS COURT SINGAPORE 328071,1.324379663,103.8638339
72 Lorong M Telok Kurau,72 LORONG M TELOK KURAU THE SEAWIND SINGAPORE 425387,1.310850917,103.9140567
26A Saint Michael's Road,26A SAINT MICHAEL'S ROAD RIVERSIDE MELODIES SINGAPORE 327995,1.327308328,103.8644768
64 Potong Pasir Avenue 1,64 POTONG PASIR AVENUE 1 THE TRE VER SINGAPORE 358393,1.336988223,103.864798
6 Dairy Farm Lane,6 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677623,1.366302647,103.7745016
9 Tampines Avenue 8,9 TAMPINES AVENUE 8 ARC AT TAMPINES SINGAPORE 529598,1.350527326,103.9282723
57B Devonshire Road,57B DEVONSHIRE ROAD THE SUITES AT CENTRAL SINGAPORE 239899,1.29849428,103.8366498
3 Rodyk Street,3 RODYK STREET WATERMARK ROBERTSON QUAY SINGAPORE 238213,1.290372994,103.8380112
25 Miltonia Close,250 MILTONIA CLOSE THE SHAUGHNESSY SINGAPORE 768311,1.417008401,103.8470082
19 Palm Grove Avenue,19 PALM GROVE AVENUE PALM GROVE CONDOMINIUM SINGAPORE 547315,1.359565419,103.8786162
102 Gerald Drive,102 GERALD DRIVE SELETAR SPRINGS CONDOMINIUM SINGAPORE 798593,1.38813865,103.8791625
106 Elias Road,106 ELIAS ROAD STRATUM SINGAPORE 519958,1.380043931,103.9445797
14 Pasir Ris Link,14 PASIR RIS LINK RIPPLE BAY SINGAPORE 518165,1.378155426,103.9617044
84 Shrewsbury Road,84 SHREWSBURY ROAD SUITES @ SHREWSBURY SINGAPORE 307842,1.318198996,103.8489061
10 Jelebu Road,10 JELEBU ROAD HILLION RESIDENCES SINGAPORE 677672,1.37842919,103.7634271
2 Rivervale Link,2 RIVERVALE LINK PARK GREEN SINGAPORE 545040,1.380217268,103.8998575
2 Flora Drive,2 FLORA DRIVE CARISSA PARK CONDOMINIUM SINGAPORE 507025,1.359171214,103.9636315
35 Lorong Marican,35 LORONG MARICAN THE EBONY SINGAPORE 417216,1.320385158,103.9084872
1 Tampines Street 86,1 TAMPINES STREET 86 Q BAY RESIDENCES SINGAPORE 528583,1.35021013,103.9272746
952 Dunearn Road,952 DUNEARN ROAD GARDENVISTA SINGAPORE 589482,1.338943659,103.779701
48 Lakeside Drive,48 LAKESIDE DRIVE THE LAKEFRONT RESIDENCES SINGAPORE 648305,1.343003968,103.7190097
345 Geylang Road,345 GEYLANG ROAD PAVILION SQUARE SINGAPORE 389366,1.312941668,103.8797821
25 Kim Keat Close,25 KIM KEAT CLOSE BLISS LOFT SINGAPORE 328933,1.323229455,103.8529293
65 Flora Drive,65 FLORA DRIVE THE INFLORA SINGAPORE 506849,1.355855796,103.9668029
85 West Coast Drive,85 WEST COAST DRIVE HUNDRED TREES SINGAPORE 128001,1.315072366,103.758518
5 Tampines Street 86,5 TAMPINES STREET 86 Q BAY RESIDENCES SINGAPORE 528585,1.350802791,103.9269801
142 Race Course Road,142 RACE COURSE ROAD RITZ @ FARRER SINGAPORE 218593,1.309936708,103.8523955
102 Punggol Drive,102 PUNGGOL DRIVE RIVERPARC RESIDENCE SINGAPORE 828800,1.398001165,103.9171032
63 East Coast Road,630 EAST COAST ROAD SINGAPORE 459016,1.311351996,103.9223696
85 Pasir Ris Grove,85 PASIR RIS GROVE NV RESIDENCES SINGAPORE 518212,1.371863274,103.9442687
188 Holland Road,188 HOLLAND ROAD VAN HOLLAND SINGAPORE 278584,1.312649569,103.7949547
50 Robinson Road,50 ROBINSON ROAD ROBINSON SUITES SINGAPORE 068882,1.280934745,103.8498225
68 Chestnut Avenue,68 CHESTNUT AVENUE TREE HOUSE SINGAPORE 679521,1.370471837,103.7772077
70 Florence Road,70 FLORENCE ROAD THE FLORENTINE SINGAPORE 549561,1.366220821,103.8860043
6 River Valley Grove,6 RIVER VALLEY GROVE LUMA SINGAPORE 238403,1.296799859,103.8345973
Q Bay Residences,Q BAY RESIDENCES,1.350810088,103.9272517
83 Compassvale Bow,83 COMPASSVALE BOW JEWEL @ BUANGKOK SINGAPORE 544684,1.381251494,103.8923659
39 Amber Gardens,39 AMBER GARDENS THE ESTA SINGAPORE 439970,1.302435139,103.9000027
16 Tanah Merah Kechil Link,16 TANAH MERAH KECHIL LINK URBAN VISTA SINGAPORE 465424,1.327246018,103.9441041
6 Keng Chin Road,6 KENG CHIN ROAD CYAN SINGAPORE 258709,1.31826158,103.830353
89 Yishun Street 81,89 YISHUN STREET 81 ORCHID PARK CONDOMINIUM SINGAPORE 768449,1.412910792,103.8368784
87 Tampines Avenue 1,87 TAMPINES AVENUE 1 WATERVIEW SINGAPORE 528688,1.349312765,103.9261066
60 Toh Tuck Road,60 TOH TUCK ROAD HIGHGATE SINGAPORE 596723,1.341245503,103.765327
20 Upper Serangoon Crescent,20 UPPER SERANGOON CRESCENT RIVERSAILS SINGAPORE 534026,1.378852702,103.9024802
14 Hougang Street 11,14 HOUGANG STREET 11 THE MINTON SINGAPORE 534071,1.352907196,103.882025
10 Cactus Drive,10 CACTUS DRIVE GRANDE VISTA SINGAPORE 809687,1.388637167,103.8531998
21 Pasir Ris Street 72,21 PASIR RIS STREET 72 WHITEWATER SINGAPORE 518764,1.379936358,103.9354952
