address,amenities,area,bathrooms,bedrooms,description,details,lease,link,name,price,property_type,psf_price
463 Pasir Panjang Road - D5,"Clubhouse,Patio / PES,Renovated,Greenery View,Low Floor,Wading Pool,Playground,Parking,Security,Pool View,Lap Pool,Gym","1,068 sqft / 99.22 sqm",2,2,"Call/ WhatsApp David Soh (俊平) @ 90669589 for exclusive viewing today!

Tenanted at $2700 for two years
Ground floor 
Renovated 


Total Units
148

Village @ Pasir Panjang
- Freehold development 
- 463 Pasir Panjang Road, Singapore 118797
- District 05
- minutes away from the upcoming West Coast MRT Station. 

- close to National University Hospital
- West Coast Park

Condo Facilities at Village @ Pasir Panjang  
- swimming pool, Children Fun Pool, Pool Deck. 

Condo Amenities near Village @ Pasir Panjang Numerous feeder bus services are available near Village @ Pasir Panjang. 

It is also minutes ride to several schools, such as National University of Singapore, Anglo-Chinese School, and United World College of South-East Asia. 

Residents can drive down to the nearby West Coast Plaza shopping mall for amenities such as supermarkets, eating establishments, shops, and more. 

In addition, it is just a short drive to the Transview Golf Course. 

For vehicle owners, driving from Village @ Pasir Panjang to either the business hub or the vibrant Orchard Road shopping district takes 15 - 20 minutes, via Ayer Rajah Expressway.

Call/ WhatsApp David Soh (俊平) @ 90669589 for exclusive viewing today!","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D05",2016 - Freehold,https://www.99.co/singapore/sale/property/village-pasir-panjang-condo-FjbkikCcgyyjTWr6XWBeun?enquiry_position=28&enquiry_source=Search,Village @ Pasir Panjang,"$1,680,000",Condo,"$1,573 psf"
161B Jalan Loyang Besar - D17,"Gym,Low Floor,Swimming Pool,Sea View,Parking,Security,Fibre Ready,BBQ,Balcony","1,195 sqft / 111.01 sqm",2,3,"QUIET AND SERENE
EXCLUSIVE ACCESS TO BEACH
LOW RISE DEVELOPMENT
HIGH CEILING

This Condominium/Apartment is accessible through the nearest train stations such as Pasir Ris (EW1 CR5), Pasir Ris East (CR4), and Loyang (CR3). The nearest primary schools are Casuarina Primary School, Pasir Ris Primary School, and White Sands Primary School.

This property is close to amenities like NTUC FAIRPRICE (DOWNTOWN EAST), Giant(pasir Ris Drive 4), and NTUC FAIRPRICE (WHITESANDS). The closest shopping malls are DOWNTOWN EAST, White Sands, and LOYANG POINT

No of Units:  51
Tenure:  99 years 
TOP Year:  2004

* Spacious 3 bedders
* High ceiling
* 1195 sqf
* Asking: $970K only 
* Functional layout
* 100% move in condition
* No West Sun
* Peaceful ambience
* Full condo facility
* Great for Beach lover

Viewing upon request.
Call David @ 82000013 for immediate viewing.

#propnex
#1png","Furnishing,Unfurnished,Facing,North,Availability,Now,District,D17",2004 - 99 years,https://www.99.co/singapore/sale/property/lighthouse-condo-VZgZFZ7BHJzWhbDka6ws7b?enquiry_position=27&enquiry_source=Search,Lighthouse,"$970,000",Condo,$812 psf
Singapore 130019 - D5,"Greenery View,Fibre Ready,Bomb Shelter,Renovated",990 sqft / 91.97 sqm,2,3,"HDB 4 Room 92 sqm
For Sale | Blk 19 Dover Crescent

You're Invited! For Open House Viewing! New Exclusive Listing!
Don't Be Shy! Just Call Jayson Ang : 91898321
Super Excited to Share with You This Beautiful Spacious Home!
***********************************

* Large Spacious Living Room & Bedrooms
* Mid Floor Unit
* Efficient Space   Layout
* Functional Kitchen with Long Rectangle Space
* Tranquil & Quiet Private Home; Comfortable Home Living
* Bright   Breezy Home
* Spacious Master Bedroom Room with Attached Spacious Bathroom
* Good Sized Study Common Room   Suitable for Children Room too!
* Comfortable Sized Living Room for Whole Family

Great Connectivity!
Plentiful Amenities!
Great Greenery!

It is accessible through the nearest train stations such as Dover (EW22), Buona Vista (CC22 EW21), and One North MRT (CC23). The nearest primary schools are Fairfield Methodist School (primary), and Henry Park Primary School. 

This property is close to amenities like FairPrice (Ghim Moh Link), NTUC Fairprice (Dover), and Cold Storage The Star Vista. The closest shopping malls are The Star Vista, Rochester Mall, and Holland Road Shopping Centre.

You're Invited! For Open House Viewing!
Don't Be Shy! Just Call Jayson Ang : 91898321
Super Excited to Share with You This Beautiful Spacious Home!","Furnishing,Unfurnished,Facing,North,Availability,Now,District,D05",2003 - 99 years,https://www.99.co/singapore/sale/property/19-dover-crescent-hdb-RQRw85MYvtJfqLS3kT3qXN?enquiry_position=26&enquiry_source=Search,19 Dover Crescent,"$635,000",HDB 4 Rooms,$641 psf
Singapore 542330 - D19,"High Floor,Bomb Shelter,Greenery View","1,205 sqft / 111.94 sqm",2,3,"HDB 5 Room 112 sqm
For Sale

Blk 330B Anchorvale Street

You're Invited! For Open House Viewing! New Exclusive Listing!
Don't Be Shy! Just Call Jayson Ang : 91898321
Super Excited to Share with You This Beautiful Spacious Home!
***********************************
Large Spacious Living Room & Bedrooms
* High Floor Unit
* Efficient Space   Layout
* Functional Kitchen with Long Rectangle Space
* Tranquil & Quiet Private Home; Comfortable Home Living
* Bright   Breezy Home
* Spacious Master Bedroom Room with Attached Spacious Bathroom
* Good Sized Common Room Suitable for Children Room!
* Comfortable Sized Living Room for Whole Family

Only 5 Years Old, High Floor, Ready To Move In / Little Renovation Needed
Farmway LRT at doorstep
Close Proximity To Sengkang Mrt /Compassone
Walking Distance To Nan Chiau Pri Sch & Anchorvale CC   Swimming Complex   Park Connector
Plentiful Choices of Childcare Centre Nearby
Coffeeshop & Supermarket Within Vicinity
Upcoming Integrated Anchorvale Village
Near Sengkang General Hospital But Not Directly Facing It
North South Facing - More Windy And Less Hot

Great Connectivity!
Plentiful Amenities!

Great Greenery!
Near Punggol River & Park Connectors!

You're Invited! For Open House Viewing!

Don't Be Shy! Just Call Jayson Ang : 91898321
Super Excited to Share with You This Beautiful Spacious Home!
","Furnishing,Unfurnished,Facing,North,Availability,Now,District,D19",2015 - 99 years,https://www.99.co/singapore/sale/property/330b-anchorvale-street-hdb-SHG9yzG9aUye3P8PsSQeJA?enquiry_position=25&enquiry_source=Search,330B Anchorvale Street,"$635,000",HDB 5 Rooms,$527 psf
286 Jalan Eunos - D14,"Bomb Shelter,Gym,Low Floor,Wading Pool,Tennis Court,Parking,Security,Pool View,Lap Pool,Balcony",559 sqft / 51.93 sqm,1,1,"Very rare!!

Corner unit with privacy. 
Nicely renovated.
Approx 559sq ft
South facing
Premium unit
Motivated seller

For viewing, Call/PM
Lina Dewi 90058205
Fauzie Roslan 91793046

For property consultation,
Contact us at: ⁣ https://bit.ly/2QMGwk2
Follow my Fb Page: https://bit.ly/2FGJ7pc
My Instagram: www.99.co","Furnishing,Partially Furnished,Facing,South,Availability,Now,District,D14",2015 - 99 years,https://www.99.co/singapore/sale/property/euhabitat-condo-RiY3mXQCqSToBNPXp9U3iL?enquiry_position=24&enquiry_source=Search,Euhabitat,"$760,000",Condo,"$1,360 psf"
Singapore 511525 - D18,,"10,774 sqft / 1,000.93 sqm",2,3,"5 yr old newest cluster hdb in Pasir Ris for Sale ! 
- renovated condition , fully air-con
- condition is like brand new as owner only stay 5 months only
- 5min walk to Pasir Ris Mrt, hawker center, White Sands shopping mall 
- 24hrs supermarket, food court downstairs
- McDonald’s,  sports recreation centre a short walk away
- surrounded by garden greenery. Nearby is beautiful pond at town park area for prawning/fishing/alfresco F&B 
- jog to popular Pasir Ris Park and beach area
Be the first to view this unit and appreciate its value! 

Please contact Christopher 92275777 for viewing appointment now. ","Availability,Now,District,D18",2015 - 99 years,https://www.99.co/singapore/sale/property/525a-pasir-ris-street-51-hdb-pDBuV988eNr7AKxH3jZZMK?enquiry_position=23&enquiry_source=Search,525A Pasir Ris Street 51,"$533,001",HDB 4 Rooms,$49 psf
Singapore 760666 - D27,"Low Floor,Corner Unit,Renovated","1,765 sqft / 163.97 sqm",3,4,"### LOW FLOOR LOVERS. MEGA SIZE. BEST LAYOUT ###

THIS IS FOR YOU, if you are looking for any of the following:
1. Flexibility to convert to 5-6 bedrooms
2. Flexibility to create an island kitchen
3. Flexibility to create a studio to create a passive income
4. Flexibility to create home office
5. Flexibility to create a mahjong or enterprise room
6. 3 bathrooms so that morning no need to fight
7. Corner unit for privacy
8. Super bright 
9. Good air flow
10. Can CONTRA

YOU GOT TO CHECK OUT THIS UNIT. YOU DON'T NEED TO HAVE 3 GENERATION TO BUY THIS!!!

Total door unit no: 2
Main door: North
Lease balance: 66 years old

* No agency fee.



Contact sole agent - Milliie Tan 9070 2263 for exclusive tour now. Or take a virtual tour here:
https://bit.ly/3bopMXV

","Facing,North,Availability,Now,District,D27",1987 - ,https://www.99.co/singapore/sale/property/666-yishun-avenue-4-hdb-aG7QDa6i3dhSwU5ASGEa3i?enquiry_position=22&enquiry_source=Search,666 Yishun Avenue 4,"$750,000",HDB Executive,$425 psf
71 Oxley Rise - D9,"Lounge,Gym,Jacuzzi,BBQ",646 sqft / 60.01 sqm,2,2,"NEW LISTING!
SELLING WITH TENANCY

Freehold 2 Bedroom 2 Bath
Dumbell Unit
High Floor with View of Fort Canning Park
No West Sun

Awesome development that many tenant loves!

Bus to Chinatown/CBD area
Cross the road to Plaza Singapura
and 4 MRT Lines!

Hurry! Dont Miss! Call Christopher at 92275777 for viewing appointment now!","Furnishing,Fully Furnished,Availability,Now,District,D09",2018 - Freehold,https://www.99.co/singapore/sale/property/the-rise-oxley-condo-9PsyGMuZaPyTSmEm9k8Gri?enquiry_position=18&enquiry_source=Search,The Rise @ Oxley,"$1,980,000",Condo,"$3,065 psf"
Singapore 122311 - D5,"Hydrotherapy Pool,Parking,Playground,Fitness Corner,Balcony",882 sqft / 81.94 sqm,2,3,"Newly MOP DBSS @ Trivelis (Clementi)

✅High floor with great view! View Now! Serious seller!

✅Private exclusive lobby gate

🚇6 mins walk from Clementi MRT station
🏢7 mins walk from The Clementi Mall & Clementi Arcade
🏫Nearby Primary schools: Pei Tong Primary School (360m away), Nan Hua Primary School (474m away), Clementi Town Primary School (457m away)
🏫Nearby International School: Integrated International School (457m away)
🏫Nearby Secondary School: Clementi Town Secondary School
🏫Nearby childcare centres: My First Skool (158m & 389m away), PCF Little Wings Bukit Timah Childcare Centre (289m away), Brighton Montessori International Preschool @ Sunset (499m away)
🏫Nearby tertiary schools: National University of Singapore, Singapore Institute of Management, Singapore Polytechnic (1 MRT station away)
🏬Less than 5 mins walk to Clementi CC

Strategic location bordering Bukit Batok, Bukit Timah, Queenstown & Jurong East with prestigious schools nearby. Look forward to upcoming connectivity with the Cross Island Line connecting across Singapore from Clementi to Ang Mo Kio & Pasir Ris.

📞 91145283 for viewing! 

#DBSS clementi trivelis
#trivelis dbss clementi
#4 bedroom dbss clementi
#dbss clementi 4 bedroom
#clementi dbss trivelis
#clementi trivelis
#private lobby clementi
#dbss clementi
#dbss private lobby
#nus
#sim
#sp
#singapore poly
#singapore polytechnic
#national university singapore
#singapore institute of management
","Furnishing,Partially Furnished,Availability,Now,District,D05",2015 - 99 years,https://www.99.co/singapore/sale/property/311b-clementi-avenue-4-hdb-ybReaQ6V7GdemBRoxiQojZ?enquiry_position=17&enquiry_source=Search,311B Clementi Avenue 4,"$814,000",,$923 psf
Singapore 824289 - D19,"Bomb Shelter,Balcony,Renovated,Greenery View","1,237 sqft / 114.92 sqm",2,3,"*New Exclusive Listing!*

*8 Year Old Unit!*
*Unblocked View!*
*No West Sun!*

Contact Tommy (HP: 93663683) for viewing arrangement now!

PREMIUM 5 Room Unit Available for Sale!
Huge Size 115sqm (1238sqft)!

- Very Well Maintained
- Bright And Airy Unit Due To Full Length And Height Balcony Door Panels
- Solid Timber Flooring for All The Bedrooms
- Efficient Squarish Layout
- 4th Floor. Corner Unit.
- 5 Mins Walk to Punggol MRT and Waterway Point.

Location:
❤ 3 Mins Walk To Punggol MRT and Waterway Point!
❤ Neighborhood Retail Outlets, Sheng Shiong, Coffeshops Are Just Across The Road.
❤ Popular Mee Toh School Just Round The Corner!
❤ 2 Mins Drive to TPE

✔ Best Valued Unit Near to Punggol MRT and Waterway Point!
✔ Full Corner Unit!
✔ Basement Carpark For Convenience (Just park beside the lift lobby!)
✔ Soothing Unblocked Park View
✔ Cosy Neighbourhood
✔ Very Sincere Sellers
✔ Open to All Ethnics and SPR.

Contact Tommy (HP: 93663683) for viewing arrangement now.","Furnishing,Partially Furnished,Facing,North East,Availability,Now,District,D19",2013 - 99 years,https://www.99.co/singapore/sale/property/289d-punggol-place-hdb-ccpMhiWVymPdsNTacxVCpK?enquiry_position=19&enquiry_source=Search,289D Punggol Place,"$610,000",HDB 5 Rooms,$493 psf
Singapore 120608 - D5,"Low Floor,Renovated",882 sqft / 81.94 sqm,2,2,"DISTRICT 05

CLEMENTI WEST STREET 1

3RM CORNER UNIT FOR SAlE

Residents will enjoy great convenience as the unit is located neax to the West Coast. It is also within close proximity to major expressways like Ayer Rajah Expressway (AYE) and Pan Island Expressway (PIE).

The unit is near to West Coast Food Centre  and Market and restaurants like Sushi Tei, Fish Mart Sakuraya, West Co’z cafe. The location also provides easy access to shopping malls like Clementi Mall,  Star Vista, Jems and Westgate.

Unit Highlights:

Mins To MRT Station

Mins to West Coast Plaza/Star Vista/ Jems/Weetgate

Clementi Town

Mins to CBD/Jurong East/Harbour Front

Mins to Qifa Primary, Nan Hua Primary, Singapore Polytechnic, Ngee Ann Polytechnic, National University of Singapore

Mins to National University Hospital

Call Christopher at 92275777 Now for Viewing appointment!
","Furnishing,Partially Furnished,Facing,East,Availability,Now,District,D05",1979 - ,https://www.99.co/singapore/sale/property/608-clementi-west-street-1-hdb-XCTY8x5qyEEaqUhUwGV8hn?enquiry_position=21&enquiry_source=Search,608 Clementi West Street 1,"$358,000",HDB 3 Rooms,$406 psf
7 Sengkang East Avenue - D19,"Jogging Track,Clubhouse,Function Room,Sky Lounge,Water Feature,Gym,Dual Key,Sauna,Spa Pavilion,Parking,Pond,Outdoor Dining,Sky Terrace,Balcony,Infinity Pool,Yoga Corner,Renovated,Pool Deck,Lounge,Wading Pool,Spa Pool,Playground,Fitness Corner,High Floor,Security,Fibre Ready,BBQ,Tennis Court","1,421 sqft / 132.01 sqm",3,4,"Premium stack 3br + 1 studio 

Dual Key
Corner unit 
High floor 
Renovated 
Spacious balcony 

Full condo facilities 
Short walk to LRT 
Bright & breezy

Serious looking for genuine buyer 



","District,D19",2015 - 99 years,https://www.99.co/singapore/sale/property/riversound-residence-condo-Ljwmr8FcURhmdKqae8sW9N?enquiry_position=16&enquiry_source=Search,Riversound Residence,"$1,480,000",Condo,"$1,042 psf"
Singapore 820118 - D19,"Low Floor,Bomb Shelter,Corner Unit","1,216 sqft / 112.97 sqm",2,3,"HDB 5RM UNIT FOR SALE (118 Edgefield Plains)
=====================
HIGHLIGHTS
===========
# Spacious Corner Unit
# Quiet Facing
# Large Kitchen Space
# Large Dining/Living Area

AMENITIES
==========
# Close to Outdoor Badminton Court
# Walking distance to Food Court
# One LRT Train Station from Punggol Central
# Mini-Mart facing Meridian LRT

SCHOOLS (1KM)
========
# Mee Toh School
# Compassvale Primary
# Edgefield Primary
# Greendale Primary
# Horizon Primary
# North Spring Primary
# Punggol View Primary
# Rivervale Primary","Availability,Now,District,D19",2003 - ,https://www.99.co/singapore/sale/property/118-edgefield-plains-hdb-LYofHDWMLEDCeRePipnYpd?enquiry_position=6&enquiry_source=Search,118 Edgefield Plains,"$438,888",HDB 5 Rooms,$361 psf
